Entidad 1,Entidad 2,Tipo
FQ,CICY,Externa
IIMAS,CICY,Externa
IIMAS,CIMAT,Externa
IIMAS,CINVESTAV,Externa
FQ,CINVESTAV,Externa
IINGEN,CINVESTAV,Externa
IG,CINVESTAV,Externa
ENES Mérida,CEPHICS,UNAM
IG,CEPHICS,UNAM
ENES Mérida,DGDC,UNAM
IG,ENES Mérida,UNAM
IINGEN,ENES Mérida,UNAM
IIMAS,ENES Mérida,UNAM
FC,ENES Mérida,UNAM
FMVZ,ENES Mérida,UNAM
FQ,FC y PCTY,UNAM
IINGEN,FC y PCTY,UNAM
IIMAS,FC y PCTY,UNAM
ENES Mérida,FC y PCTY,UNAM
IG,FC y PCTY,UNAM
IG,FQ y PCTY,UNAM
IINGEN,FQ y PCTY,UNAM
IIMAS,FQ y PCTY,UNAM
ENES Mérida,FQ y PCTY,UNAM
FC,FQ y PCTY,UNAM
FC,Bepensa,Externa
IG,ICML,UNAM
FQ,IE,UNAM
ENES Mérida,IE,UNAM
FMVZ,IE,UNAM
FMVZ,IG,UNAM
IG,IINGEN,UNAM
FQ,IINGEN,UNAM
IIMAS,IINGEN,UNAM
ENES Mérida,IINGEN,UNAM
FC,IINGEN,UNAM
FMVZ,IIMAS,UNAM
ENES Mérida,IIMAS,UNAM
IG,IIMAS,UNAM
FQ,TecNM-Mérida,Externa
FQ,TecNM-Tizimín,Externa
FQ,TecNM-Valladolid,Externa
FMVZ,LANCIS,UNAM
IG,LANRESC,UNAM
FMVZ,ONG’s,Externa
FMVZ,Productores,Externa
FMVZ,SDS Yucatán,Externa
ENES Mérida,SIIES,Externa
IIMAS,SIIES,Externa
FC,SIIES,Externa
FC,SEPASY,Externa
FMVZ,SSY,Externa
FMVZ,SENASICA Yucatán,Externa
ENES Mérida,SIIDETEY,Externa
IG,UASA,UNAM
FMVZ,UADY,Externa
IINGEN,UADY,Externa
IIMAS,UADY,Externa
FQ,UADY,Externa
FQ,Univ. Marista,Externa
IIMAS,UPY,Externa
IG,SEFIPLAN,Externa
IG,Kekén,Externa